goID	pVal_enrich	subontology	goTerm
GO:0006721	0.036963037	BP	terpenoid metabolic process
GO:0010508	0.036963037	BP	positive regulation of autophagy
GO:2000677	0.036963037	BP	regulation of transcription regulatory region DNA binding
GO:0030510	0.037962038	BP	regulation of BMP signaling pathway
GO:0032922	0.037962038	BP	circadian regulation of gene expression
GO:0060317	0.037962038	BP	cardiac epithelial to mesenchymal transition
GO:0000079	0.03996004	BP	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0046165	0.03996004	BP	alcohol biosynthetic process
GO:0051054	0.03996004	BP	positive regulation of DNA metabolic process
GO:1904029	0.03996004	BP	regulation of cyclin-dependent protein kinase activity
GO:0036477	0.03996004	CC	somatodendritic compartment
GO:0048471	0.03996004	CC	perinuclear region of cytoplasm
GO:0031267	0.03996004	MF	small GTPase binding
GO:0048538	0.040959041	BP	thymus development
GO:0060536	0.040959041	BP	cartilage morphogenesis
GO:0003729	0.040959041	MF	mRNA binding
GO:0003012	0.041958042	BP	muscle system process
GO:0003414	0.041958042	BP	chondrocyte morphogenesis involved in endochondral bone morphogenesis
GO:0003422	0.041958042	BP	growth plate cartilage morphogenesis
GO:0003429	0.041958042	BP	growth plate cartilage chondrocyte morphogenesis
GO:0090171	0.041958042	BP	chondrocyte morphogenesis
GO:0000428	0.041958042	CC	DNA-directed RNA polymerase complex
GO:0030880	0.041958042	CC	RNA polymerase complex
GO:0055029	0.041958042	CC	nuclear DNA-directed RNA polymerase complex
GO:1905368	0.041958042	CC	peptidase complex
GO:0035094	0.042957043	BP	response to nicotine
GO:0090068	0.042957043	BP	positive regulation of cell cycle process
GO:0005085	0.042957043	MF	guanyl-nucleotide exchange factor activity
GO:0043005	0.043956044	CC	neuron projection
GO:0008146	0.043956044	MF	sulfotransferase activity
GO:0051536	0.043956044	MF	iron-sulfur cluster binding
GO:0051540	0.043956044	MF	metal cluster binding
GO:0001523	0.044955045	BP	retinoid metabolic process
GO:0016101	0.044955045	BP	diterpenoid metabolic process
GO:0046785	0.044955045	BP	microtubule polymerization
GO:0099111	0.044955045	BP	microtubule-based transport
GO:0010559	0.045954046	BP	regulation of glycoprotein biosynthetic process
GO:0060048	0.045954046	BP	cardiac muscle contraction
GO:1903018	0.045954046	BP	regulation of glycoprotein metabolic process
GO:0005520	0.045954046	MF	insulin-like growth factor binding
GO:0006936	0.046953047	BP	muscle contraction
GO:0045844	0.046953047	BP	positive regulation of striated muscle tissue development
GO:0048636	0.046953047	BP	positive regulation of muscle organ development
GO:1900006	0.046953047	BP	positive regulation of dendrite development
GO:1901863	0.046953047	BP	positive regulation of muscle tissue development
GO:0014866	0.047952048	BP	skeletal myofibril assembly
GO:0015837	0.048951049	BP	amine transport
GO:0046173	0.048951049	BP	polyol biosynthetic process
GO:0051028	0.048951049	BP	mRNA transport
GO:0051952	0.048951049	BP	regulation of amine transport
GO:0070925	0.048951049	BP	organelle assembly
GO:1902749	0.048951049	BP	regulation of cell cycle G2/M phase transition
GO:0004540	0.048951049	MF	ribonuclease activity
GO:0043467	0.04995005	BP	regulation of generation of precursor metabolites and energy
GO:0048846	0.04995005	BP	axon extension involved in axon guidance
GO:1902284	0.04995005	BP	neuron projection extension involved in neuron projection guidance
GO:0043235	0.04995005	CC	receptor complex
