gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
ABCC13	35	55	11	3	1269.8400000000001	2539.6800000000003	15	1
ABCC2	4	50	3	9	675.1800000000001	1350.3600000000001	15	1
ABCC3	12	55	4	10	1514.7	3029.4	15	1
ABCC5	1	47	5	7	1438.47	2876.94	15	1
ABCC6	46	58	5	3	1375.1100000000001	2750.2200000000003	15	1
ABCC8	5	53	4	5	1517.01	3034.02	15	1
ABCC9	14	48	5	5	1618.65	3237.3	15	1
ABCD2	4	23	0	10	630.96	1261.92	15	1
ABCD3	0	17	2	3	632.61	1265.22	15	1
ABCD4	7	25	1	8	596.64	1193.28	15	1
ABCE1	0	15	4	3	594	1188	15	1
ABCF2	2	13	0	7	593.34	1186.68	15	1
ABCF3	4	33	4	8	616.77	1233.54	15	1
ABCG1	0	26	0	1	651.75	1303.5	15	1
ABCG2	7	18	1	3	744.48	1488.96	15	1
ABCG4	1	14	4	8	548.46	1096.92	15	1
ABHD10	5	9	2	1	256.08	512.16	15	1
ABHD11	5	11	2	0	197.01000000000002	394.02000000000004	15	1
ABHD12	0	22	2	10	353.43	706.86	15	1
ABHD12B	3	9	1	7	269.28000000000003	538.5600000000001	15	1
ABHD13	2	4	0	0	334.62	669.24	15	1
ABHD14A	8	7	2	4	175.56	351.12	15	1
ABHD17A	0	14	0	5	289.74	579.48	15	1
ABHD17B	0	8	0	0	286.11	572.22	15	1
ABHD17C	1	9	0	2	267.96000000000004	535.9200000000001	15	1
ABHD18	3	16	2	0	377.19	754.38	15	1
ABHD2	1	16	0	2	421.74	843.48	15	1
ABHD5	2	22	0	2	330.99	661.98	15	1
ABHD6	0	8	0	9	334.62	669.24	15	1
ABHD8	1	10	2	7	430.65000000000003	861.3000000000001	15	1
ABI2	0	11	1	1	466.95000000000005	933.9000000000001	15	1
ABI3	13	13	1	0	342.87	685.74	15	1
ABI3BP	28	33	2	2	1148.0700000000002	2296.1400000000003	15	1
ABL2	2	41	5	8	1123.65	2247.3	15	1
ABLIM1	9	20	1	4	590.0400000000001	1180.0800000000002	15	1
ABLIM2	4	11	1	0	252.45000000000002	504.90000000000003	15	1
ABLIM3	8	31	0	0	575.19	1150.38	15	1
ABR	1	29	0	15	759.99	1519.98	15	1
ABRA	20	21	3	4	404.58000000000004	809.1600000000001	15	1
ABRACL	1	3	0	2	81.18	162.36	15	1
ABTB1	1	11	0	7	453.75	907.5	15	1
ACAA1	7	27	0	8	387.09000000000003	774.1800000000001	15	1
ACAA2	3	39	1	13	370.26	740.52	15	1
ACACA	0	103	3	18	2275.02	4550.04	15	1
ACACB	18	109	9	42	2329.4700000000003	4658.9400000000005	15	1
ACAD11	13	21	5	6	569.25	1138.5	15	1
ACAD6L	4	21	2	3	393.36	786.72	15	1
ACAD8	2	16	1	5	375.87	751.74	15	1
ACAD9	3	21	0	5	523.71	1047.42	15	1
ACADSB	1	16	0	0	328.68	657.36	15	1
ACAN	48	88	22	21	2058.87	4117.74	15	1
ACAP2	5	27	3	1	791.34	1582.68	15	1
ACAP3	0	36	3	16	840.84	1681.68	15	1
ACAT1	7	31	3	7	459.03000000000003	918.0600000000001	15	1
ACAT2	2	14	1	1	373.89000000000004	747.7800000000001	15	1
ACBD4	14	21	4	7	312.51	625.02	15	1
ACBD5	10	11	5	3	462.99	925.98	15	1
ACCS	8	35	2	12	864.2700000000001	1728.5400000000002	15	1
ACCSL	68	25	7	10	569.58	1139.16	15	1
ACD	43	27	13	8	587.07	1174.14	15	1
ACE	19	58	10	23	1236.51	2473.02	15	1
ACE2	29	24	3	7	798.9300000000001	1597.8600000000001	15	1
ACER3	2	10	1	0	231.33	462.66	15	1
ACKR1	14	9	0	2	240.57000000000002	481.14000000000004	15	1
ACKR3	2	21	0	1	361.35	722.7	15	1
ACKR4	5	20	3	1	354.42	708.84	15	1
ACLY	2	43	1	17	1068.54	2137.08	15	1
ACMSD	1	5	1	3	330.99	661.98	15	1
ACO1	7	35	0	6	881.1	1762.2	15	1
ACO2	1	35	1	7	766.26	1532.52	15	1
ACOD1	8	14	2	5	470.25	940.5	15	1
ACOT11	4	6	1	6	388.41	776.82	15	1
ACOT12	11	23	2	0	484.77000000000004	969.5400000000001	15	1
ACOT13	2	7	0	1	143.55	287.1	15	1
ACOT2L	3	9	1	1	377.19	754.38	15	1
ACOT4	19	22	7	11	700.26	1400.52	15	1
ACOT7	1	12	1	1	270.93	541.86	15	1
ACOT8	0	8	4	3	206.91	413.82	15	1
ACOT9	4	20	3	2	442.53000000000003	885.0600000000001	15	1
ACOX1	40	75	12	31	1677.39	3354.78	15	1
ACOX2	22	19	2	2	716.76	1433.52	15	1
ACOX3	15	27	1	4	697.95	1395.9	15	1
ACP1	1	3	1	0	143.22	286.44	15	1
ACP6	6	8	4	3	314.82	629.64	15	1
ACPP	13	9	1	0	368.28000000000003	736.5600000000001	15	1
ACR-ACRL	30	14	8	5	539.5500000000001	1079.1000000000001	15	1
ACRBP	30	20	7	3	478.5	957	15	1
ACSBG1	9	33	2	3	689.37	1378.74	15	1
ACSF2	16	20	4	4	391.38	782.76	15	1
ACSF3	25	39	13	18	617.76	1235.52	15	1
ACSL3	13	35	2	8	728.3100000000001	1456.6200000000001	15	1
ACSL4	4	25	1	3	664.2900000000001	1328.5800000000002	15	1
ACSL5	13	18	0	4	677.1600000000001	1354.3200000000002	15	1
ACSL6	2	32	2	6	697.2900000000001	1394.5800000000002	15	1
ACSM3	11	25	0	1	573.21	1146.42	15	1
ACSS1	9	23	5	7	642.1800000000001	1284.3600000000001	15	1
ACSS3	29	15	5	1	363.99	727.98	15	1
ACT85CL	7	23	0	5	374.22	748.44	15	1
ACTA1	0	6	0	5	333.96000000000004	667.9200000000001	15	1
ACTA2	0	13	0	1	374.22	748.44	15	1
ACTB	0	12	0	3	372.24	744.48	15	1
ACTBL2L	0	10	0	1	374.22	748.44	15	1
ACTC1	0	14	0	1	368.61	737.22	15	1
ACTC2L	0	21	0	12	314.49	628.98	15	1
ACTG1	0	11	0	16	315.15000000000003	630.3000000000001	15	1
ACTG2	0	14	0	0	337.26	674.52	15	1
ACTL6A	4	17	0	2	397.65000000000003	795.3000000000001	15	1
ACTN1	0	16	1	1	858.6600000000001	1717.3200000000002	15	1
ACTN2	1	15	1	1	889.0200000000001	1778.0400000000002	15	1
ACTN4	0	6	0	2	149.82	299.64	15	1
ACTR10-ACTR10L	2	20	2	4	410.52000000000004	821.0400000000001	15	1
ACTR1A	0	16	1	9	357.39000000000004	714.7800000000001	15	1
ACTR2	0	6	0	1	375.21000000000004	750.4200000000001	15	1
ACTR3	0	4	0	2	400.29	800.58	15	1
ACTR3B	0	9	0	1	299.31	598.62	15	1
ACTR5	3	30	1	8	550.11	1100.22	15	1
ACTR6	0	11	0	2	348.15000000000003	696.3000000000001	15	1
ACTR8	0	13	2	2	562.32	1124.64	15	1
ACTRT2	16	20	2	4	373.23	746.46	15	1
ACVR1	3	14	2	0	527.01	1054.02	15	1
ACVR1B	0	23	0	6	449.46000000000004	898.9200000000001	15	1
ACVR1C	3	24	4	9	460.68	921.36	15	1
ACVR2A	1	26	1	5	499.95000000000005	999.9000000000001	15	1
ACVRL1	3	9	3	10	389.73	779.46	15	1
ACY1	0	13	3	10	362.67	725.34	15	1
ACYP1	0	1	2	2	50.49	100.98	15	1
ACYP2	1	1	0	0	77.22	154.44	15	1
ADA	6	15	5	8	351.45	702.9	15	1
ADAD1	24	34	7	4	576.1800000000001	1152.3600000000001	15	1
ADAL	6	14	0	3	324.06	648.12	15	1
ADAM10	4	18	1	3	724.35	1448.7	15	1
ADAM12	7	29	3	6	820.38	1640.76	15	1
ADAM15	38	62	14	29	994.95	1989.9	15	1
ADAM17	8	33	1	15	788.7	1577.4	15	1
ADAM19	20	44	6	4	851.4000000000001	1702.8000000000002	15	1
ADAM20	39	49	5	17	762.3000000000001	1524.6000000000001	15	1
ADAM22	2	25	0	8	873.1800000000001	1746.3600000000001	15	1
ADAM23	5	21	0	0	893.64	1787.28	15	1
ADAM28	22	39	4	6	768.24	1536.48	15	1
ADAM33	10	35	7	23	813.12	1626.24	15	1
ADAM5P	15	29	5	7	791.01	1582.02	15	1
ADAM8	79	36	3	1	721.38	1442.76	15	1
ADAM9	22	27	10	4	876.48	1752.96	15	1
ADAM9L-LOC100857794	15	5	2	1	219.78	439.56	15	1
ADAMTS1	11	71	3	3	864.9300000000001	1729.8600000000001	15	1
ADAMTS12	59	65	6	2	1604.13	3208.26	15	1
ADAMTS13	40	38	11	5	1450.3500000000001	2900.7000000000003	15	1
ADAMTS15	4	40	3	22	798.9300000000001	1597.8600000000001	15	1
ADAMTS17	1	26	2	5	1062.27	2124.54	15	1
ADAMTS18	13	34	2	0	1237.5	2475	15	1
ADAMTS19	7	19	2	0	818.73	1637.46	15	1
ADAMTS20	39	51	8	6	1789.26	3578.52	15	1
ADAMTS5	3	31	0	1	733.9200000000001	1467.8400000000001	15	1
ADAMTS6	12	24	4	0	1235.19	2470.38	15	1
ADAMTS7	49	84	13	33	1680.69	3361.38	15	1
ADAMTS8	2	38	2	22	702.9	1405.8	15	1
ADAMTS9	10	70	6	25	1852.95	3705.9	15	1
ADAMTSL2	7	32	5	16	819.39	1638.78	15	1
ADAMTSL2L	20	36	6	7	959.6400000000001	1919.2800000000002	15	1
ADAMTSL3	26	58	6	4	1701.48	3402.96	15	1
ADAMTSL5	7	17	4	10	297.99	595.98	15	1
ADAP1	0	11	0	1	347.49	694.98	15	1
ADAP2	7	7	1	1	333.3	666.6	15	1
ADAR	49	61	11	13	1153.3500000000001	2306.7000000000003	15	1
ADARB1	4	17	4	4	654.72	1309.44	15	1
ADARB2	4	21	1	7	677.49	1354.98	15	1
ADAT1	14	20	7	3	486.75	973.5	15	1
ADAT2	2	5	0	0	43.56	87.12	15	1
ADCK2	4	17	1	8	313.83000000000004	627.6600000000001	15	1
ADCY1	3	20	0	1	652.4100000000001	1304.8200000000002	15	1
ADCY2	8	18	4	2	1063.26	2126.52	15	1
ADCY3	0	14	4	20	888.36	1776.72	15	1
ADCY7	25	46	5	6	1034.22	2068.44	15	1
ADCY8	5	20	3	4	846.12	1692.24	15	1
ADCYAP1	0	1	1	0	91.08	182.16	15	1
ADCYAP1R1	1	16	1	2	466.29	932.58	15	1
ADD1	2	7	1	0	658.35	1316.7	15	1
ADD3	1	22	4	1	703.89	1407.78	15	1
ADGB	81	67	15	8	1628.88	3257.76	15	1
ADGRA1L	2	19	0	3	706.86	1413.72	15	1
ADGRA2	1	25	9	21	732.27	1464.54	15	1
ADGRA3L	12	43	5	4	1234.53	2469.06	15	1
ADGRB1	3	37	1	15	1290.63	2581.26	15	1
ADGRB2	4	34	5	24	919.71	1839.42	15	1
ADGRB3	4	18	0	3	594.99	1189.98	15	1
ADGRD1	7	23	2	6	898.9200000000001	1797.8400000000001	15	1
ADGRD2	21	39	10	9	1075.47	2150.94	15	1
ADGRF4	22	28	4	1	670.89	1341.78	15	1
ADGRF5	83	53	9	6	1330.5600000000002	2661.1200000000003	15	1
ADGRG1	14	26	3	2	664.2900000000001	1328.5800000000002	15	1
ADGRG2	40	38	12	7	1291.95	2583.9	15	1
ADGRG3	17	15	1	2	545.49	1090.98	15	1
ADGRG4	39	26	7	5	1086.03	2172.06	15	1
ADGRG5	50	17	3	0	486.09000000000003	972.1800000000001	15	1
ADGRG6	86	59	6	4	2221.56	4443.12	15	1
ADGRG7	30	23	3	3	745.8000000000001	1491.6000000000001	15	1
ADGRL2	7	29	4	4	1482.03	2964.06	15	1
ADGRL3	9	36	2	4	1046.76	2093.52	15	1
ADGRV1	153	225	40	31	5782.59	11565.18	15	1
ADH1C	2	10	1	3	378.18	756.36	15	1
ADH5	2	11	3	5	367.29	734.58	15	1
ADHFE1	5	13	7	3	458.37	916.74	15	1
ADI1	2	7	1	3	179.19	358.38	15	1
ADIPOQ	6	12	1	12	243.54000000000002	487.08000000000004	15	1
ADIPOR1	0	17	1	5	296.01	592.02	15	1
ADIPOR2	2	8	0	1	383.13	766.26	15	1
ADIRF	0	1	1	0	76.23	152.46	15	1
ADK	7	11	0	0	373.23	746.46	15	1
ADM	1	1	1	2	153.45000000000002	306.90000000000003	15	1
ADMP	13	19	4	9	599.28	1198.56	15	1
ADNP	12	35	8	4	1284.69	2569.38	15	1
ADNP2	17	42	1	11	1063.26	2126.52	15	1
ADORA1	2	5	1	7	223.74	447.48	15	1
ADORA2B	4	7	1	7	337.59000000000003	675.1800000000001	15	1
ADPGK	1	22	0	2	428.67	857.34	15	1
ADPRH	10	14	0	8	348.48	696.96	15	1
ADPRHL1	97	80	36	27	1929.51	3859.02	15	1
ADPRHL2	1	19	0	4	295.68	591.36	15	1
ADPRM	3	7	0	0	140.91	281.82	15	1
ADRA1A	6	19	0	4	472.23	944.46	15	1
ADRA1D	2	16	2	4	283.47	566.94	15	1
ADRA2A	4	24	3	6	440.55	881.1	15	1
ADRA2BL2	9	15	8	9	321.75	643.5	15	1
ADRA2C	0	12	0	0	392.37	784.74	15	1
ADRB2	2	17	1	6	389.40000000000003	778.8000000000001	15	1
ADRB3	3	6	3	10	323.73	647.46	15	1
ADRM1	0	8	0	3	381.81	763.62	15	1
ADSL	2	18	0	3	449.79	899.58	15	1
ADSS	0	7	2	2	392.04	784.08	15	1
ADSSL1	0	13	0	1	390.06	780.12	15	1
ADTRP	6	8	0	0	231.66000000000003	463.32000000000005	15	1
AEN	3	4	0	2	152.79000000000002	305.58000000000004	15	1
AES	0	6	0	0	127.71000000000001	255.42000000000002	15	1
AFAP1	3	27	4	1	807.84	1615.68	15	1
AFAP1L1	27	49	1	3	714.45	1428.9	15	1
AFAP1L2	25	44	10	11	813.7800000000001	1627.5600000000002	15	1
AFDN	8	51	3	9	1838.43	3676.86	15	1
AFF1	28	39	10	10	1166.55	2333.1	15	1
AFF3	12	21	4	1	408.21000000000004	816.4200000000001	15	1
AFF4	6	32	6	9	1156.3200000000002	2312.6400000000003	15	1
AFG1L	1	12	1	4	445.17	890.34	15	1
AFG3L2	5	30	0	11	760.32	1520.64	15	1
AFMID	2	13	0	6	249.48000000000002	498.96000000000004	15	1
AFP	10	23	3	2	609.84	1219.68	15	1
AFTPH	19	26	14	8	845.46	1690.92	15	1
AGA	7	7	4	0	323.73	647.46	15	1
AGAP3	6	36	4	17	911.13	1822.26	15	1
AGBL1	33	34	8	1	869.22	1738.44	15	1
AGBL2	13	14	19	7	481.14000000000004	962.2800000000001	15	1
AGBL3	33	25	3	2	768.24	1536.48	15	1
AGBL4	5	10	0	1	460.68	921.36	15	1
AGFG1	0	8	1	4	451.77000000000004	903.5400000000001	15	1
AGGF1	14	29	6	3	718.4100000000001	1436.8200000000002	15	1
AGK	6	16	5	3	384.45000000000005	768.9000000000001	15	1
AGL	5	48	5	12	1512.39	3024.78	15	1
AGMAT	7	14	5	4	282.81	565.62	15	1
AGO1	0	32	0	11	841.1700000000001	1682.3400000000001	15	1
AGO3	0	19	0	3	848.76	1697.52	15	1
AGPAT1	10	8	0	0	265.98	531.96	15	1
AGPAT2	1	4	3	6	256.41	512.82	15	1
AGPAT3	1	12	1	2	312.18	624.36	15	1
AGPAT4	4	12	1	2	336.6	673.2	15	1
AGPAT5	0	6	0	1	362.34000000000003	724.6800000000001	15	1
AGPAT9L	11	12	1	1	408.54	817.08	15	1
AGPS	2	21	1	2	469.92	939.84	15	1
AGR2	2	7	0	2	171.27	342.54	15	1
AGR3	0	3	0	2	164.34	328.68	15	1
AGRN	16	46	7	38	1502.16	3004.32	15	1
AGT	14	20	4	0	460.35	920.7	15	1
AGTR1	6	10	1	0	356.40000000000003	712.8000000000001	15	1
AGTR2	8	13	0	5	369.27000000000004	738.5400000000001	15	1
AGTRAP	4	12	0	1	169.95000000000002	339.90000000000003	15	1
AGXT	9	18	6	4	304.92	609.84	15	1
AGXT2	14	17	2	3	491.37	982.74	15	1
AHCYL1	0	20	0	6	486.09000000000003	972.1800000000001	15	1
AHDC1-LOC107055013-LOC112530227	1	13	7	14	831.6	1663.2	15	1
AHI1	33	38	8	1	1017.72	2035.44	15	1
AHNAK2	148	82	13	5	2266.11	4532.22	15	1
AHR	10	22	1	3	834.9000000000001	1669.8000000000002	15	1
AHR1B	55	44	20	13	873.51	1747.02	15	1
AHR2	42	45	16	16	866.25	1732.5	15	1
AHRR	9	23	6	5	660	1320	15	1
AHSA1	0	16	0	4	334.29	668.58	15	1
AHSA2	3	12	0	2	280.83000000000004	561.6600000000001	15	1
AHSG	11	9	3	4	342.54	685.08	15	1
AICDA	1	6	0	1	197.01000000000002	394.02000000000004	15	1
AIFM1	8	24	5	4	538.23	1076.46	15	1
AIFM2	6	13	2	7	371.25	742.5	15	1
AIFM3	0	17	1	8	593.01	1186.02	15	1
AIG1	3	3	0	0	144.21	288.42	15	1
AIM1	35	64	8	9	1731.51	3463.02	15	1
AIM1L	24	20	13	27	895.62	1791.24	15	1
AIMP1	7	15	2	2	306.90000000000003	613.8000000000001	15	1
AIMP2	5	17	0	2	290.73	581.46	15	1
AIPL1	15	19	3	5	349.14000000000004	698.2800000000001	15	1
AJAP1	0	6	0	2	165.66	331.32	15	1
AK2	0	11	0	1	159.39000000000001	318.78000000000003	15	1
AK3	9	13	0	3	285.78000000000003	571.5600000000001	15	1
AK4	0	11	0	4	170.61	341.22	15	1
AK5	11	14	1	1	568.26	1136.52	15	1
AK6	1	9	0	0	170.28	340.56	15	1
AK7	15	29	2	2	712.47	1424.94	15	1
AK8	6	21	0	2	450.45000000000005	900.9000000000001	15	1
AK9	74	80	13	14	2407.6800000000003	4815.360000000001	15	1
AKAIN1	0	3	0	0	67.65	135.3	15	1
AKAP1	25	26	6	8	870.21	1740.42	15	1
AKAP10	10	49	3	14	1101.21	2202.42	15	1
AKAP12	75	57	27	10	1880.3400000000001	3760.6800000000003	15	1
AKAP13	12	42	6	7	1456.29	2912.58	15	1
AKAP14	11	3	2	1	167.31	334.62	15	1
AKAP17A	9	35	1	5	685.08	1370.16	15	1
AKAP2	35	32	5	1	868.5600000000001	1737.1200000000001	15	1
AKAP5	22	21	4	4	498.63	997.26	15	1
AKAP6	56	70	11	5	2412.63	4825.26	15	1
AKAP7	11	11	1	1	238.26000000000002	476.52000000000004	15	1
AKAP7L	35	37	11	2	627.6600000000001	1255.3200000000002	15	1
AKAP9	98	117	28	19	3874.53	7749.06	15	1
AKIP1	1	5	1	1	85.14	170.28	15	1
AKNA	17	12	11	7	326.04	652.08	15	1
AKNAD1	67	27	23	8	718.74	1437.48	15	1
AKR1A1	3	8	1	1	324.72	649.44	15	1
AKR1B10L2	7	10	0	2	295.68	591.36	15	1
AKR1B10L3	5	7	2	1	267.3	534.6	15	1
AKR1D1	1	9	1	4	317.13	634.26	15	1
AKR7A2	6	16	2	9	284.13	568.26	15	1
AKT1	1	10	0	4	491.04	982.08	15	1
AKT3	1	16	1	1	470.25	940.5	15	1
AKTIP	1	12	2	0	291.06	582.12	15	1
ALAD	2	12	3	2	280.5	561	15	1
ALAS1	7	22	2	6	618.09	1236.18	15	1
ALB	15	19	2	6	609.84	1219.68	15	1
ALDH18A1	7	29	1	1	469.26000000000005	938.5200000000001	15	1
ALDH1A1	3	22	3	0	485.76000000000005	971.5200000000001	15	1
ALDH1A2	1	8	0	0	512.16	1024.32	15	1
ALDH1A3	2	27	0	4	506.22	1012.44	15	1
ALDH1L2	9	24	3	4	896.94	1793.88	15	1
ALDH3A2	30	68	15	30	1119.69	2239.38	15	1
ALDH4A1	7	31	7	15	489.39000000000004	978.7800000000001	15	1
ALDH5A1	2	14	1	1	401.28000000000003	802.5600000000001	15	1
ALDH6A1	3	12	2	1	494.01000000000005	988.0200000000001	15	1
ALDH7A1	3	17	6	2	456.72	913.44	15	1
ALDH8A1	13	25	0	3	970.2	1940.4	15	1
ALDH9A1	3	23	5	8	461.01000000000005	922.0200000000001	15	1
ALDOB	2	20	0	2	361.35	722.7	15	1
ALDOC	1	9	1	8	298.32	596.64	15	1
ALG1	12	17	5	3	368.94	737.88	15	1
ALG10	15	19	6	7	445.17	890.34	15	1
ALG11	6	19	3	5	396	792	15	1
ALG12	1	11	2	0	351.78000000000003	703.5600000000001	15	1
ALG13	14	34	3	1	864.9300000000001	1729.8600000000001	15	1
ALG14	3	7	1	1	210.87	421.74	15	1
ALG2	3	18	1	6	319.11	638.22	15	1
ALG3	3	7	2	5	277.86	555.72	15	1
ALG5	6	10	4	0	298.98	597.96	15	1
ALG6	15	17	5	1	441.54	883.08	15	1
ALG8	13	20	8	3	403.26	806.52	15	1
ALG9	15	29	7	11	786.0600000000001	1572.1200000000001	15	1
ALK	24	35	7	6	1221.3300000000002	2442.6600000000003	15	1
ALKBH1	6	12	3	4	322.74	645.48	15	1
ALKBH2	2	8	2	0	167.97	335.94	15	1
ALKBH3-HSD17B12	8	17	2	6	447.15000000000003	894.3000000000001	15	1
ALKBH4	12	16	0	1	275.22	550.44	15	1
ALKBH5	1	11	1	10	369.27000000000004	738.5400000000001	15	1
ALKBH8	26	31	6	7	688.38	1376.76	15	1
ALMS1	206	123	74	34	3016.53	6033.06	15	1
ALOX5	4	15	1	5	667.59	1335.18	15	1
ALOX5AP	0	7	0	5	160.38	320.76	15	1
ALPI	11	17	9	12	491.37	982.74	15	1
ALPK1	48	68	19	9	1130.5800000000002	2261.1600000000003	15	1
ALPK2	101	38	11	7	1805.76	3611.52	15	1
ALPK3	34	47	9	8	1546.71	3093.42	15	1
ALPL	1	8	1	6	303.6	607.2	15	1
ALPP	21	9	1	7	341.88	683.76	15	1
ALS2	17	68	7	5	1608.42	3216.84	15	1
ALS2CL	5	37	5	9	970.2	1940.4	15	1
ALX1	2	6	1	0	320.76	641.52	15	1
ALX3	0	4	0	1	105.27000000000001	210.54000000000002	15	1
ALX4	2	8	1	5	291.06	582.12	15	1
ALYREF	0	4	0	0	71.28	142.56	15	1
AMACR	2	9	0	1	351.78000000000003	703.5600000000001	15	1
AMBP	6	21	1	0	303.27000000000004	606.5400000000001	15	1
AMBRA1	3	36	1	14	1266.54	2533.08	15	1
AMD1	0	3	0	2	322.74	645.48	15	1
AMDHD1	4	13	3	1	424.38	848.76	15	1
AMDHD2	5	20	1	2	380.16	760.32	15	1
AMER1	44	57	17	21	1079.43	2158.86	15	1
AMER2	13	19	3	3	608.19	1216.38	15	1
AMER3	40	41	6	8	982.08	1964.16	15	1
AMFR	2	17	2	3	553.4100000000001	1106.8200000000002	15	1
AMH	22	28	3	1	441.21000000000004	882.4200000000001	15	1
AMHR2	11	31	2	8	587.4	1174.8	15	1
AMIGO2	5	20	4	3	516.78	1033.56	15	1
AMMECR1	8	8	1	1	257.07	514.14	15	1
AMMECR1L	1	5	0	1	279.18	558.36	15	1
AMN	19	21	8	5	454.08000000000004	908.1600000000001	15	1
AMN1	2	14	1	1	264.33	528.66	15	1
AMOTL2	12	23	6	12	660.33	1320.66	15	1
AMPD1	9	27	2	3	726.6600000000001	1453.3200000000002	15	1
AMPD2	0	10	0	4	595.98	1191.96	15	1
AMPD3	2	31	0	3	767.25	1534.5	15	1
AMPH	61	44	8	7	1394.91	2789.82	15	1
AMY1A	3	4	1	1	198.99	397.98	15	1
AMZ1	4	35	0	10	498.96000000000004	997.9200000000001	15	1
AN1ZNF5L	4	7	3	4	185.46	370.92	15	1
ANAPC1	7	50	4	9	1908.39	3816.78	15	1
ANAPC10	0	5	0	1	184.14000000000001	368.28000000000003	15	1
ANAPC11	2	2	3	3	73.59	147.18	15	1
ANAPC2	2	28	3	5	776.1600000000001	1552.3200000000002	15	1
ANAPC4	15	26	5	4	745.8000000000001	1491.6000000000001	15	1
ANAPC5	5	32	2	10	749.4300000000001	1498.8600000000001	15	1
ANAPC7	1	28	0	2	560.34	1120.68	15	1
ANGEL1	17	28	2	8	659.34	1318.68	15	1
ANGEL2	16	27	4	5	547.8000000000001	1095.6000000000001	15	1
ANGPT2	2	14	1	0	768.24	1536.48	15	1
ANGPT4	8	2	4	10	289.74	579.48	15	1
ANGPTL1	3	23	2	0	476.85	953.7	15	1
ANGPTL2	13	18	1	1	572.5500000000001	1145.1000000000001	15	1
ANGPTL3	6	20	2	2	459.36	918.72	15	1
ANGPTL4	5	14	4	8	432.3	864.6	15	1
ANGPTL5	4	10	2	1	387.09000000000003	774.1800000000001	15	1
ANGPTL7	3	15	1	1	345.51	691.02	15	1
ANK1	15	81	4	6	2053.92	4107.84	15	1
ANK2	79	183	24	37	3867.6000000000004	7735.200000000001	15	1
ANK3	24	88	12	21	4614.06	9228.12	15	1
ANKDD1A	9	21	3	4	499.95000000000005	999.9000000000001	15	1
ANKDD1B	13	24	3	5	531.63	1063.26	15	1
